,Common Name,Kingdom,Phylum,Class,Subclass,Infraclass,Superorder,Order,Family,Genus,SPECIES,Continents,Countries,Regions,Biome,Lifestyle,Seasonal behavior,Ref,Animalia_Link,Subcontinents,Group name,Islands,Introduced Countries,Suborder,Oceans,SUBSPECIES OF,Subfamily,Subgenus,Tribe
0,african-finfoot,Animalia,Chordata,Aves,Neornithes,Neognathae,Neoaves,Gruiformes,Heliornithidae,Podica,Podica senegalensis,Africa,"Equatorial Guinea,","South Africa,","Freshwater,Forest,Savanna,Wetlands,Anthropogenic biome,Mangrove,Swamp","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial",Not a migrant,"https://en.wikipedia.org/wiki/African_finfoot,https://www.iucnredlist.org/species/22692177/93339914",https://animalia.bio/african-finfoot/,,,,,,,,,,
0,african-firefinch,Animalia,Chordata,Aves,,,,Passeriformes,Estrildidae,Lagonosticta,Lagonosticta rubricata,Africa,"South Africa,","Angola,","Freshwater,Anthropogenic biome,Forest,Grassland,Savanna,Shrubland,Wetlands,Agricultural,Woodland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_firefinch,https://www.iucnredlist.org/species/22731403/111147608,https://xeno-canto.org/703811",https://animalia.bio/african-firefinch/,,,,,,,,,,
0,african-fish-eagle,Animalia,Chordata,Aves,,,,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus vocifer,Africa,"Angola,",,"Tropical savanna,Lakes,Tropical moist forests,Mangrove,Rivers,Intertidal zone,Estuaries,Wetlands,Brackish water,Coastal,Freshwater,Marsh,Riparian,Grassland,Swamp,Forest,Neritic zone,Marine,Desert,Rainforest","Arboreal, ,Predator, ,Soaring birds, ,Altricial, ,Terrestrial, ,Territorial, ,Oviparous, ,Soaring, ,Nomadic",Not a migrant,"https://en.wikipedia.org/wiki/African_fish_eagle,https://www.iucnredlist.org/species/22695115/93490143,https://xeno-canto.org/682061",https://animalia.bio/african-fish-eagle/,Sub-Saharan Africa,"convocation, aerie",,,,,,,,
0,african-golden-oriole,Animalia,Chordata,Aves,,,,Passeriformes,Oriolidae,Oriolus,Oriolus auratus,Africa,"South Africa,",,"Forest,Savanna,Desert,Shrubland","Terrestrial, ,Oviparous",Migrating,"https://en.wikipedia.org/wiki/African_golden_oriole,https://www.iucnredlist.org/species/22706389/130375861,https://xeno-canto.org/702189",https://animalia.bio/african-golden-oriole/,,,,,,,,,,
0,african-goshawk,Animalia,Chordata,Aves,,,,Accipitriformes,Accipitridae,Accipiter,Accipiter tachiro,Africa,"South Africa,","Angola,","Freshwater,Anthropogenic biome,Forest,Wetlands,Agricultural,Woodland,Mountains","Terrestrial, ,Oviparous, ,Altricial, ,Territorial, ,Soaring, ,Gliding, ,Ambush predator",Not a migrant,"https://en.wikipedia.org/wiki/African_goshawk,https://www.iucnredlist.org/species/22727697/95230244,https://xeno-canto.org/699372",https://animalia.bio/african-goshawk/,,,,,,,,,,
0,african-grass-owl,Animalia,Chordata,Aves,,,,Strigiformes,Tytonidae,Tyto,Tyto capensis,Africa,"South Africa,","Angola,","Marsh,Wetlands,Grassland,Freshwater,Savanna,Shrubland,Mountains","Terrestrial, ,Oviparous, ,Altricial",Not a migrant,"https://en.wikipedia.org/wiki/African_grass_owl,https://www.iucnredlist.org/species/22688514/93199287,https://xeno-canto.org/699551",https://animalia.bio/african-grass-owl/,,,,,,,,,,
0,african-green-pigeon,Animalia,Chordata,Aves,,,,Columbiformes,Columbidae,Treron,Treron calvus,Africa,"Equatorial Guinea,",,"Freshwater,Anthropogenic biome,Forest,Savanna,Shrubland,Woodland,Riparian","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_green_pigeon,https://www.iucnredlist.org/species/45433492/95154637,https://xeno-canto.org/616082",https://animalia.bio/african-green-pigeon/,,,,,,,,,,
0,african-grey-flycatcher,Animalia,Chordata,Aves,,,,Passeriformes,Muscicapidae,Bradornis,Melaenornis microrhynchus,Africa,"Ethiopia,",,"Savanna,Shrubland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_grey_flycatcher,https://www.iucnredlist.org/species/22709054/94190558,https://xeno-canto.org/300445",https://animalia.bio/african-grey-flycatcher/,,,,,,,,,,
0,african-grey-hornbill,Animalia,Chordata,Aves,,,,Bucerotiformes,Bucerotidae,Lophoceros,Lophoceros nasutus,"Africa,",Asia,"South Africa,","Forest,Grassland,Savanna,Woodland","Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/African_grey_hornbill,https://www.iucnredlist.org/species/22682413/92944101,https://xeno-canto.org/700782",https://animalia.bio/african-grey-hornbill/,,,,,,,,,,
0,african-grey-woodpecker,Animalia,Chordata,Aves,,,,Piciformes,Picidae,Dendropicos,Dendropicos goertae,Africa,"Equatorial Guinea,",,"Freshwater,Anthropogenic biome,Forest,Savanna,Shrubland,Agricultural,Woodland","Terrestrial, ,Oviparous, ,Altricial",Not a migrant,"https://en.wikipedia.org/wiki/African_grey_woodpecker,https://www.iucnredlist.org/species/22730269/95026074,https://xeno-canto.org/694630",https://animalia.bio/african-grey-woodpecker/,,,,,,,,,,
0,african-harrierhawk,,,,,,,,,,,,,,,,,,https://animalia.bio/african-harrierhawk/,,,,,,,,,,
0,african-hawkeagle,,,,,,,,,,,,,,,,,,https://animalia.bio/african-hawkeagle/,,,,,,,,,,
0,african-hill-babbler,Animalia,Chordata,Aves,,,,Passeriformes,Sylviidae,Sylvia,Sylvia abyssinica,Africa,"Equatorial Guinea,",,"Anthropogenic biome,Forest,Shrubland,Mountains",,,"https://en.wikipedia.org/wiki/African_hill_babbler,https://www.iucnredlist.org/species/103872581/113116418",https://animalia.bio/african-hill-babbler/,,,,,,,,,,
0,african-hobby,Animalia,Chordata,Aves,,,,Falconiformes,Falconidae,Falco,Falco cuvierii,Africa,"South Africa,",,"Anthropogenic biome,Forest,Savanna,Woodland",,,"https://en.wikipedia.org/wiki/African_hobby,https://www.iucnredlist.org/species/22696466/93565510",https://animalia.bio/african-hobby/,,,,,,,,,,
0,african-hoopoe,Animalia,Chordata,Aves,,,,Bucerotiformes,Upupidae,Upupa,Upupa africana,,"Angola,","Botswana,","Urban wildlife,Anthropogenic biome,Forest,Woodland,Savanna,Shrubland",Oviparous,,"https://en.wikipedia.org/wiki/African_hoopoe,https://xeno-canto.org/646335",https://animalia.bio/african-hoopoe/,,,,,,,,,,
0,african-jacana,Animalia,Chordata,Aves,,,,Charadriiformes,Jacanidae,Actophilornis,Actophilornis africanus,Africa,"Equatorial Guinea,","South Africa,","Freshwater,Anthropogenic biome,Grassland,Neritic zone,Wetlands,Coastal,Marine","Terrestrial, ,Congregatory, ,Nomadic, ,Oviparous, ,Precocial,  ,Wading bird",Not a migrant,"https://en.wikipedia.org/wiki/African_jacana,https://www.iucnredlist.org/species/22693528/93410506,https://xeno-canto.org/651037",https://animalia.bio/african-jacana/,,,,,,,,,,
