,Common Name,Animalia_Link,Kingdom,Phylum,Class,Order,Family,Genus,SPECIES,Continents,Countries,Regions,Biome,Lifestyle,Seasonal behavior,Ref,Subclass,Infraclass,Superorder,Subcontinents,Group name,Suborder,Subfamily,Introduced Countries,Islands,Oceans,Seas,Tribe,SUBSPECIES OF
0,ringed-kingfisher,https://animalia.bio/ringed-kingfisher/,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,Megaceryle torquata,"North America,",South America,"Dominica,","Freshwater,Anthropogenic biome,Forest,Intertidal zone,Neritic zone,Wetlands,Coastal,Marine,Estuaries,Mangrove","Terrestrial, ,Oviparous, ,Burrowing",Migrating,"https://en.wikipedia.org/wiki/Ringed_kingfisher,https://www.iucnredlist.org/species/22683634/168873464,https://xeno-canto.org/705777",Neornithes,Neognathae,Neoaves,,,Alcedini,Cerylinae,,,,,,
0,ringed-teal,https://animalia.bio/ringed-teal/,Animalia,Chordata,Aves,Anseriformes,Anatidae,Callonetta,Callonetta leucophrys,South America,"Uruguay,",,"Lakes,Wetlands,Freshwater,Forest","Semiaquatic, ,Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Waterfowl","Not a migrant, ,Migrating","https://en.wikipedia.org/wiki/Ringed_teal,https://www.iucnredlist.org/species/22680101/92843247,https://xeno-canto.org/522569",,,,,"coil, diving, knob, spring",,,,,,,,
0,ringed-warbling-finch,https://animalia.bio/ringed-warbling-finch/,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Microspingus,Microspingus torquatus,South America,Bolivia,,"Forest,Shrubland",,,"https://en.wikipedia.org/wiki/Ringed_warbling_finch,https://www.iucnredlist.org/species/103827064/119467977",,,,,,,,,,,,,
0,ringed-woodpecker,https://animalia.bio/ringed-woodpecker/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ringnecked-dove,https://animalia.bio/ringnecked-dove/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ringnecked-duck,https://animalia.bio/ringnecked-duck/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ringnecked-francolin,https://animalia.bio/ringnecked-francolin/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ringtailed-pigeon,https://animalia.bio/ringtailed-pigeon/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,rinjani-scops-owl,https://animalia.bio/rinjani-scops-owl/,Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus,Otus jolandae,Asia,Indonesia,,"Freshwater,Anthropogenic biome,Forest,Mountains","Terrestrial, ,Oviparous, ,Altricial",Not a migrant,"https://en.wikipedia.org/wiki/Rinjani_scops_owl,https://www.iucnredlist.org/species/61786867/117002556,https://xeno-canto.org/410357",,,,,,,,,,,,,
0,rio-branco-antbird,https://animalia.bio/rio-branco-antbird/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,rio-de-janeiro-antbird,https://animalia.bio/rio-de-janeiro-antbird/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,rio-de-janeiro-antwren,https://animalia.bio/rio-de-janeiro-antwren/,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Myrmotherula,Myrmotherula fluminensis,South America,Brazil,,"Freshwater,Anthropogenic biome,Forest,Wetlands",,,"https://en.wikipedia.org/wiki/Rio_de_Janeiro_antwren,https://www.iucnredlist.org/species/103657471/112309679",,,,,,,,,,,,,
0,rio-madeira-stipplethroat,https://animalia.bio/rio-madeira-stipplethroat/,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Epinecrophylla,Epinecrophylla amazonica,South America,"Bolivia,",,Forest,"Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Rio_Madeira_stipplethroat,https://www.iucnredlist.org/species/103657368/112309271,https://xeno-canto.org/687740",,,,,,,,,,,,,
0,rio-negro-gnatcatcher,https://animalia.bio/rio-negro-gnatcatcher/,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,Polioptila facilis,,Brazil,,,,,https://en.wikipedia.org/wiki/Rio_Negro_gnatcatcher,,,,,,,,,,,,,
0,río-orinoco-spinetail,https://animalia.bio/río-orinoco-spinetail/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,rio-suno-antwren,https://animalia.bio/rio-suno-antwren/,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Myrmotherula,Myrmotherula sunensis,South America,"Ecuador,",,Forest,,,"https://en.wikipedia.org/wiki/Rio_Suno_antwren,https://www.iucnredlist.org/species/22701508/130213395,https://xeno-canto.org/260777",,,,,,,,,,,,,
0,riparian-antbird,https://animalia.bio/riparian-antbird/,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Cercomacroides,Cercomacroides fuscicauda,South America,"Ecuador,",,"Freshwater,Anthropogenic biome,Forest,Shrubland,Wetlands,Riparian",,,"https://en.wikipedia.org/wiki/Riparian_antbird,https://www.iucnredlist.org/species/103658612/112356381,https://xeno-canto.org/686974",,,,,,,,,,,,,
0,river-lapwing,https://animalia.bio/river-lapwing/,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,Vanellus duvaucelii,Asia,"China,",,"Freshwater,Anthropogenic biome,Wetlands,Agricultural,Grassland","Terrestrial,  ,Congregatory, ,Oviparous, ,Precocial, ,Wading bird",Not a migrant,"https://en.wikipedia.org/wiki/River_lapwing,https://www.iucnredlist.org/species/22693992/93432617,https://xeno-canto.org/684711",,,,,,,,,,,,,
0,river-prinia,https://animalia.bio/river-prinia/,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Prinia,Prinia fluviatilis,Africa,"Cameroon,",,"Freshwater,Grassland,Shrubland,Wetlands,Swamp",,,"https://en.wikipedia.org/wiki/River_prinia,https://www.iucnredlist.org/species/22713618/132268388,https://xeno-canto.org/177768",,,,,,,,,,,,,
0,river-tern,https://animalia.bio/river-tern/,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna aurantia,Asia,"China,",,"Freshwater,Intertidal zone,Neritic zone,Wetlands,Marine,Rocky areas","Terrestrial, ,Congregatory, ,Oviparous, ,Precocial, ,Soaring, ,Seabird",Not a migrant,"https://en.wikipedia.org/wiki/River_tern,https://www.iucnredlist.org/species/22694537/180171504,https://xeno-canto.org/603108",,,,,,,,,,,,,
0,river-tyrannulet,https://animalia.bio/river-tyrannulet/,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Serpophaga,Serpophaga hypoleuca,South America,"Ecuador,",,"Freshwater,Savanna,Shrubland,Wetlands",,,"https://en.wikipedia.org/wiki/River_tyrannulet,https://www.iucnredlist.org/species/22699337/118644945,https://xeno-canto.org/656887",,,,,,,,,,,,,
0,river-warbler,https://animalia.bio/river-warbler/,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella,Locustella fluviatilis,"Europe,","Asia,",Africa,"Freshwater,Forest,Grassland,Savanna,Shrubland,Wetlands,Bog","Terrestrial, ,Oviparous",Migrating,"https://en.wikipedia.org/wiki/River_warbler,https://www.iucnredlist.org/species/22714679/111075343,https://xeno-canto.org/696901",,,,,,,,,,,,,
0,riverbank-warbler,https://animalia.bio/riverbank-warbler/,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,riverside-tyrant,https://animalia.bio/riverside-tyrant/,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Knipolegus,Knipolegus orenocensis,South America,"Brazil,",,Shrubland,"Terrestrial, ,Oviparous",Not a migrant,"https://en.wikipedia.org/wiki/Riverside_tyrant,https://www.iucnredlist.org/species/103682943/112288882,https://xeno-canto.org/340151",,,,,,,,,,,,,
0,riverside-wren,https://animalia.bio/riverside-wren/,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cantorchilus,Cantorchilus semibadius,North America,"Costa Rica,",,"Freshwater,Forest,Wetlands,Woodland",,,"https://en.wikipedia.org/wiki/Riverside_wren,https://www.iucnredlist.org/species/22711435/94294450,https://xeno-canto.org/544014",,,,,,,,,,,,,
