,Common Name,Animalia_Link,Kingdom,Phylum,Class,Order,Family,Genus,SPECIES,Continents,Countries,Biome,Ref,Introduced Countries,Regions,Lifestyle,Seasonal behavior,Subfamily,Subclass,Infraclass,Superorder,Subcontinents,Group name,Suborder,Oceans,Islands,Tribe,Seas
0,cocos-finch,https://animalia.bio/cocos-finch/,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Pinaroloxias,Pinaroloxias inornata,North America,Costa Rica,"Forest,Shrubland,Caves and Subterranean Habitats,Woodland","https://en.wikipedia.org/wiki/Cocos_finch,https://www.iucnredlist.org/species/22723792/94833441",,,"Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,cocos-flycatcher,https://animalia.bio/cocos-flycatcher/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,coiba-spinetail,https://animalia.bio/coiba-spinetail/,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Cranioleuca,Cranioleuca dissita,North America,Panama,Forest,"https://en.wikipedia.org/wiki/Coiba_spinetail,https://www.iucnredlist.org/species/22702451/180875813,https://xeno-canto.org/496268",,,,,,,,,,,,,,,
0,coleto,https://animalia.bio/coleto/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,colima-pygmy-owl,https://animalia.bio/colima-pygmy-owl/,Animalia,Chordata,Aves,Strigiformes,Strigidae,Glaucidium,Glaucidium palmarum,North America,Mexico,"Anthropogenic biome,Forest","https://en.wikipedia.org/wiki/Colima_pygmy_owl,https://www.iucnredlist.org/species/22729019/95003394,https://xeno-canto.org/686073",,,,,,,,,,,,,,,
0,colima-warbler,https://animalia.bio/colima-warbler/,Animalia,Chordata,Aves,Passeriformes,Parulidae,Leiothlypis,Leiothlypis crissalis,North America,"Mexico,","Forest,Mountains,Rocky areas","https://en.wikipedia.org/wiki/Colima_warbler,https://www.iucnredlist.org/species/22721633/168863036,https://xeno-canto.org/588023",,,,,,,,,,,,,,,
0,collared-antshrike,https://animalia.bio/collared-antshrike/,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Thamnophilus,Thamnophilus bernardi,South America,"Ecuador,","Forest,Shrubland","https://en.wikipedia.org/wiki/Collared_antshrike,https://www.iucnredlist.org/species/103658059/93820395,https://xeno-canto.org/543063",,,,,,,,,,,,,,,
0,collared-aracari,https://animalia.bio/collared-aracari/,Animalia,Chordata,Aves,Piciformes,Ramphastidae,Pteroglossus,Pteroglossus torquatus,"South America,",North America,"Forest,Rainforest,Anthropogenic biome,Woodland","https://en.wikipedia.org/wiki/Collared_aracari,https://www.iucnredlist.org/species/22726200/94914704,https://xeno-canto.org/676907",,,"Arboreal, ,Zoochory, ,Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,collared-babbler,https://animalia.bio/collared-babbler/,,,,,,,,,,,,,,,,,,,,,,,,,,
0,collared-brushturkey,https://animalia.bio/collared-brushturkey/,Animalia,Chordata,Aves,Galliformes,Megapodiidae,Talegalla,Talegalla jobiensis,Asia,"Papua New Guinea,","Forest,Mountains","https://en.wikipedia.org/wiki/Collared_brushturkey,https://www.iucnredlist.org/species/22678572/92779263,https://xeno-canto.org/582584",,,,,,,,,,,,,,,
0,collared-bush-robin,https://animalia.bio/collared-bush-robin/,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Tarsiger,Tarsiger johnstoniae,Asia,Taiwan,"Forest,Mountains,Shrubland","https://en.wikipedia.org/wiki/Collared_bush_robin,https://www.iucnredlist.org/species/22709753/94222021,https://xeno-canto.org/652267",,,"Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,collared-crescentchest,https://animalia.bio/collared-crescentchest/,Animalia,Chordata,Aves,Passeriformes,Melanopareiidae,Melanopareia,Melanopareia torquata,South America,"Bolivia,","Savanna,Shrubland,Forest,Woodland","https://en.wikipedia.org/wiki/Collared_crescentchest,https://www.iucnredlist.org/species/22703449/93923697,https://xeno-canto.org/705433",,,,,,,,,,,,,,,
0,collared-crow,https://animalia.bio/collared-crow/,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus,Corvus torquatus,Asia,"China,","Anthropogenic biome,Grassland","https://en.wikipedia.org/wiki/Collared_crow,https://www.iucnredlist.org/species/22706049/131735892",,,"Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,collared-falconet,https://animalia.bio/collared-falconet/,Animalia,Chordata,Aves,Falconiformes,Falconidae,Microhierax,Microhierax caerulescens,Asia,"China,","Anthropogenic biome,Forest,Shrubland","https://en.wikipedia.org/wiki/Collared_falconet,https://www.iucnredlist.org/species/22696324/93555153,https://xeno-canto.org/328316",,,"Terrestrial, ,Oviparous, ,Gliding",Not a migrant,,,,,,,,,,,
0,collared-finchbill,https://animalia.bio/collared-finchbill/,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Spizixos,Spizixos semitorques,Asia,"China,","Anthropogenic biome,Forest,Shrubland","https://en.wikipedia.org/wiki/Collared_finchbill,https://www.iucnredlist.org/species/22712600/94337830,https://xeno-canto.org/653058",,,"Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,collared-flycatcher,https://animalia.bio/collared-flycatcher/,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula albicollis,"Europe,","Asia,","Anthropogenic biome,Forest,Savanna,Agricultural,Woodland","https://en.wikipedia.org/wiki/Collared_flycatcher,https://www.iucnredlist.org/species/22709315/155539425,https://xeno-canto.org/689995",,Africa,"Terrestrial, ,Oviparous",Migrating,,,,,,,,,,,
0,collared-forest-falcon,https://animalia.bio/collared-forest-falcon/,Animalia,Chordata,Aves,Falconiformes,Falconidae,Micrastur,Micrastur semitorquatus,"South America,",North America,"Forest,Shrubland,Rainforest","https://en.wikipedia.org/wiki/Collared_forest_falcon,https://www.iucnredlist.org/species/22696291/140961639,https://xeno-canto.org/704396",,"Belize,","Terrestrial, ,Oviparous, ,Territorial",Not a migrant,,,,,,,,,,,
0,collared-gnatwren,https://animalia.bio/collared-gnatwren/,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Microbates,Microbates collaris,South America,"Ecuador,","Forest,Rainforest","https://en.wikipedia.org/wiki/Collared_gnatwren,https://www.iucnredlist.org/species/22711571/94301553,https://xeno-canto.org/562667",,"Brazil,","Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,collared-grosbeak,https://animalia.bio/collared-grosbeak/,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Mycerobas,Mycerobas affinis,Asia,"China,","Forest,Shrubland,Mountains","https://en.wikipedia.org/wiki/Collared_grosbeak,https://www.iucnredlist.org/species/22720693/94678448,https://xeno-canto.org/681729",,,,,,,,,,,,,,,
0,collared-imperial-pigeon,https://animalia.bio/collared-imperial-pigeon/,Animalia,Chordata,Aves,Columbiformes,Columbidae,Ducula,Ducula mullerii,Asia,"Papua New Guinea,","Freshwater,Forest,Wetlands,Rainforest,Swamp","https://en.wikipedia.org/wiki/Collared_imperial_pigeon,https://www.iucnredlist.org/species/22691770/93324270",,,"Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
0,collared-inca,https://animalia.bio/collared-inca/,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Coeligena,Coeligena torquata,South America,"Ecuador,","Forest,Grassland","https://en.wikipedia.org/wiki/Collared_inca,https://www.iucnredlist.org/species/22726720/94930361,https://xeno-canto.org/260506",,,"Terrestrial, ,Oviparous",Not a migrant,,,,,,,,,,,
