Great shearwater
Great shortwing
Great shrike-tyrant
Great skua
Great slaty woodpecker
Great snipe
Great sparrow
Great spinetail
Great spotted cuckoo
Great spotted kiwi
Great spotted woodpecker
Great stone-curlew
Great swallow-tailed swift
Great thrush
Great tinamou
Great tit
Great white pelican
Great woodswallow
Great xenops
Great-billed hermit
Great-billed heron
Great-billed kingfisher
Great-billed mannikin
Great-billed parrot
Great-billed seed finch
Greater Antillean bullfinch
Greater Antillean elaenia
Greater Antillean grackle
Greater adjutant
Greater ʻamakihi
Greater ani
Greater bird-of-paradise
Greater blue-eared starling
Greater coucal
Greater crested tern
Greater double-collared sunbird
Greater flameback
Greater flamingo
Greater flowerpiercer
Greater green leafbird
Greater ground robin
Greater honeyguide
Greater hoopoe-lark
Greater kestrel
Greater koa finch
Greater lophorina
Greater melampitta
Greater necklaced laughingthrush
Greater painted-snipe
Greater pewee
Greater prairie chicken
Greater racket-tailed drongo
Greater rhea
Greater roadrunner
Greater sage-grouse
Greater sand plover
Greater scaup
Greater scythebill
Greater short-toed lark
Greater sooty owl
Greater spotted eagle
Greater striped swallow
Greater swamp warbler
Greater thornbird
Greater vasa parrot
Greater wagtail-tyrant
Greater white-fronted goose
Greater yellow finch
Greater yellow-headed vulture
Greater yellowlegs
Greater yellownape
Great-tailed grackle
Great-winged petrel
Green aracari
Green avadavat
Green barbet
Green bee-eater
Green broadbill
Green catbird
Green cochoa
Green crombec
Green figbird
Green hermit
Green heron
Green honeycreeper
Green hylia
Green ibis
Green imperial pigeon
Green iora
Green jay
Green jery
Green junglefowl
Green kingfisher
Green longtail
Green malkoha
Green manakin
Green mango
Green oriole
Green oropendola
Green parakeet
Green peafowl
Green pheasant
Green pygmy goose
Green racket-tail
Green rosella
Green sandpiper
Green shrike-babbler
Green shrike-vireo
Green thorntail
Green tinkerbird
Green warbler
Green warbler-finch
Green white-eye
Green wood hoopoe
Green-and-black fruiteater
Green-and-gold tanager
Green-and-rufous kingfisher
Green-and-white hummingbird
Green-backed becard
Green-backed camaroptera
Green-backed eremomela
Green-backed firecrown
Green-backed flycatcher
Green-backed gerygone
Green-backed hillstar
Green-backed honeybird
Green-backed honeyeater
Green-backed kingfisher
Green-backed robin
Green-backed sparrow
Green-backed tit
Green-backed trogon
Green-backed twinspot
Green-backed whistler
Green-backed white-eye
Green-backed woodpecker
Green-barred woodpecker
Green-bearded helmetcrest
Green-bellied hummingbird
Green-billed coucal
Green-billed malkoha
Green-billed toucan
Green-breasted bushshrike
Green-breasted mango
Green-breasted mountaingem
Green-breasted pitta
Green-capped eremomela
Green-capped tanager
Green-cheeked parakeet
Green-chinned euphonia
Green-crowned brilliant
Green-crowned plovercrest
Green-crowned warbler
Green-eared barbet
Green-faced parrotfinch
Green-fronted hummingbird
Green-fronted lancebill
Green-headed hillstar
Green-headed oriole
Green-headed sunbird
Green-headed tanager
Greenish elaenia
Greenish puffleg
Greenish schiffornis
Greenish tyrannulet
Greenish warbler
Greenish yellow finch
Green-legged partridge
Green-naped tanager
Green-rumped parrotlet
Green-striped brushfinch
Green-tailed bristlebill
Green-tailed emerald
Green-tailed goldenthroat
Green-tailed jacamar
Green-tailed sunbird
Green-tailed towhee
Green-tailed trainbearer
Green-tailed warbler
Green-thighed parrot
Green-throated carib
Green-throated mango
Green-throated mountaingem
Green-throated sunbird
Green-winged pytilia
Green-winged saltator
Green-winged teal
Grenada dove
Grenada flycatcher
Grey antbird
Grey antwren
Grey apalis
Grey bunting
Grey bush chat
Grey butcherbird
Grey crested tit
Grey crow
Grey crowned crane
Grey cuckooshrike
Grey currawong
Grey elaenia
Grey emutail
Grey falcon
Grey fantail
Grey francolin
Grey friarbird
Grey gerygone
Grey go-away-bird
Grey goshawk
Grey grasswren
Grey ground thrush
Grey gull
Grey heron
Grey honeyeater
Grey hypocolius
Grey imperial pigeon
Grey junglefowl
Grey kestrel
Grey laughingthrush
Grey longbill
Grey monjita
Grey nightjar
Grey noddy
Grey parrot
Grey partridge
Grey peacock-pheasant
Grey penduline tit
Grey petrel
Grey pileated finch
Grey plover
Grey pratincole
Grey seedeater
Grey shrikethrush
Grey sibia
Grey silky-flycatcher
Grey sunbird
Grey teal
Grey thornbill
Grey tinamou
